country_combo,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
BE_IT,3363,2715,0.870195704456007,2.63619228930852,0.0,0.8928172623682237,16.552276396031015,0.0,0.021340996168582378,506,8.318877333819863,7.998084291187739,1.9478987180704792,6.375478927203065,10.777777777777779,7,13,2,43
BE_SI,5865,4771,0.8853430768842637,2.4200386490753325,0.0,0.9176792759699729,16.671511248590562,0.0,0.03189134808853119,686,9.335328638497653,9.277665995975855,1.6805439819514536,7.609657947686117,11.221327967806841,36,319,7,151
CL_BE,2030,1600,0.8782463656578445,2.404244010559406,0.0,0.893904874456103,14.105466335530474,0.0,0.020705882352941175,268,9.134117647058824,8.891176470588235,1.6733083853086528,7.452941176470588,11.394117647058824,19,16,4,23
ES_BE,745,640,0.8688113963996479,2.411997833298827,0.0,0.9016416691962174,17.959037378347933,0.0,0.0096,108,8.284444444444444,8.246666666666666,1.2953673714173772,6.8933333333333335,9.76,0,0,0,28
ES_ES,1630,1263,0.8812988380575357,3.0674509125352296,0.0,0.9038013203613353,23.76536345809083,0.0,0.08873417721518988,116,16.384599156118142,15.860759493670885,3.75866147918227,12.683544303797468,21.0,5,13,3,37
ES_IT,964,771,0.8591931163845874,3.0393542850489803,0.0,0.8860878517163219,28.596702701780018,0.0,0.0768,59,16.07,15.99,0.6575408431313933,15.44,16.78,2,9,0,11
ES_SI,5524,3619,0.8244545359983425,4.520885596370643,0.0,0.883816100036846,47.06890934494317,0.0,0.2843181818181818,240,25.31465848965849,24.13131313131313,8.261091262794055,16.414141414141415,36.95959595959596,8,11,1,88
IT_BE,1619,1059,0.7859839388545499,3.5410893307353937,0.0,0.834371180351772,29.394727573758097,0.0,0.15210144927536232,106,17.364958592132506,15.771739130434783,7.407603297242654,10.347826086956522,28.58695652173913,2,16,0,21
IT_IT,637,519,0.8879642299456184,3.9276651883335454,0.0,0.9276659895672065,51.25991966474766,0.0,0.13478260869565217,39,16.02536231884058,15.652173913043478,5.4090719669262075,10.652173913043478,22.217391304347824,0,0,1,17
IT_SI,6117,4454,0.869428368890187,3.115253065427927,0.0,0.9043339879653656,25.241485191119754,0.0,0.13044,463,14.671011111111111,13.894,4.250517445310359,10.432,20.1,7,123,1,61
MX_SI,1830,1198,0.8044494220160163,3.768366783946379,0.0,0.8736325112663004,31.53718045533212,0.0,0.17386178861788618,142,11.64415334344731,10.817073170731707,5.141403978657424,6.048780487804878,19.51219512195122,0,4,0,17
PE_BE,1017,827,0.9051770300703316,2.5951625323245175,0.0,0.9204573647851664,19.10496024865745,0.0,0.038227848101265824,112,10.234177215189874,10.183544303797468,2.620851668279811,7.594936708860759,12.924050632911392,4,31,1,18
RO_BE,993,818,0.9080534620810038,3.058847525138621,0.0,0.9189741679079504,24.73803626523393,0.0,0.049,122,9.840833333333334,9.358333333333333,3.3814689589452995,6.483333333333333,13.95,0,18,4,31
SI_BE,11357,8657,0.8910753159412176,2.7102005013967174,0.0,0.9190182089011971,19.879605587201116,0.0,0.059681861348528015,1176,10.21685603491159,9.933760683760683,2.564817818384974,7.572649572649572,13.482905982905983,2,110,10,195
SI_ES,6798,4865,0.8231414721999557,3.429029279158842,0.0,0.8570100791844811,32.1406537973163,0.0,0.15635693215339233,437,16.076401179941005,15.353982300884956,5.09440983641117,10.986725663716815,23.168141592920353,16,18,1,93
SI_IT,22982,16417,0.8490914897677072,3.33930179970771,0.0,0.8867588250699268,27.884106684884994,0.0,0.12445410628019324,1675,14.789428754283826,14.11413043478261,4.040402480886419,10.676328502415458,20.17874396135266,30,264,17,356
SI_MX,732,578,0.9110307953765977,2.4926344038689803,0.0,0.9364342818335811,16.571304814383762,0.0,0.024736842105263158,77,11.359649122807017,11.228070175438596,1.9868294147239323,9.175438596491228,13.631578947368421,0,0,0,14
SI_NI,1542,1373,0.9322131282761634,2.4083843301329266,0.0,0.9363953787347725,20.0495413782411,0.0,0.0,198,9.905450733752621,9.726415094339623,1.1662882437665236,8.79245283018868,11.226415094339623,5,9,0,32
SI_SI,4465,3086,0.8293062624897951,3.6613176203032944,0.0,0.8789279263923185,29.353436147284686,0.0,0.2151219512195122,217,24.30787843592722,23.516260162601625,5.3547205471177355,18.89430894308943,30.91869918699187,0,36,1,54
US_SI,994,888,0.9058081786719058,2.206830689869536,0.0,0.9131411822882861,13.437994886646843,0.0,0.0,171,7.676432291666667,7.49609375,1.212687555096389,6.4921875,9.0859375,0,13,0,34
