nationality,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
BE,11957,9337,0.8877445062503261,2.4757872587855916,0.0,0.9150566935746713,16.28924183926887,0.0,0.032757158006362676,1498,9.061136359810803,8.881760339342524,1.901766620602757,7.123011664899257,11.38388123011665,32,258,12,212
CL,1240,918,0.8130354478219766,2.379015668699619,0.0,0.8394256267260776,13.911961844422912,0.0,0.03294117647058823,134,9.93686274509804,9.452941176470588,2.537901619613563,7.482352941176471,13.505882352941176,12,10,1,13
ES,9924,7050,0.8505949221426916,3.5881815766280156,0.0,0.8872256191012836,33.87753955895255,0.0,0.14863661202185793,551,19.09300156128025,18.40327868852459,5.031851237201062,14.00983606557377,25.82295081967213,19,42,3,145
IT,18580,13517,0.8551506201366332,3.2049760628454296,0.0,0.8882813201948986,26.09306191048816,0.0,0.11145956873315364,1438,13.96340739598826,13.369272237196766,3.62271787922938,10.283018867924529,18.76145552560647,26,230,8,206
MX,1960,1293,0.8432293434312006,3.596001256133298,0.0,0.9044747216229538,29.135954075736407,0.0,0.1601700680272109,144,13.93014191322462,13.173469387755102,4.499948051189806,9.040816326530612,20.73469387755102,0,0,0,19
NI,1155,1026,0.9260714544753149,3.200862064107347,0.0,0.9310934698122505,30.54214682258752,0.0,0.0,106,14.745833333333334,14.5375,1.85107646769374,12.9625,16.7375,2,0,0,16
PE,626,525,0.8956685068808291,3.1438276209956113,0.0,0.9044970721110319,26.31352826085265,0.0,0.0365,58,13.470833333333335,13.4125,2.7321058341200612,10.75,16.25,3,11,1,14
RO,535,420,0.8776291453270858,3.0468345281577274,0.0,0.8936512926840391,25.455899378716882,0.0,0.07200000000000001,72,9.345555555555556,8.566666666666666,3.5929580984843352,5.966666666666667,14.1,0,15,3,17
SI,34752,25613,0.870446330218483,2.973411139606518,0.0,0.9026788704458952,23.766722970092527,0.0,0.0962280701754386,2833,12.881936649521789,12.396904024767801,3.4313296989517554,9.378328173374612,17.325696594427246,49,451,25,666
US,475,419,0.904522032873841,2.1377118830852035,0.0,0.9081283960069301,14.19960435662702,0.0,0.0,84,7.614583333333333,7.375,1.1273413797539535,6.546875,8.953125,0,6,0,16
