marker,university,spanish_level,gender,mother_tongue,n,tokens_total,per_1k,spanish_level_bucket
(y) es que,Universidad de Sevilla,C2,F,es,14,2332,6.003430531732419,upper
(y) es que,Universidad de Sevilla,C2,M,es,5,833,6.002400960384153,upper
(y) es que,Universita degli Studi di Palermo,B1,F,it,1,4299,0.23261223540358222,lower
(y) es que,Universita degli Studi di Palermo,B2,F,it,4,9519,0.42021220716461816,upper
(y) es que,Universita degli Studi di Palermo,B2,M,it,1,1321,0.757002271006813,upper
(y) es que,Universita degli Studi di Palermo,C1,F,it,12,1837,6.5323897659227,upper
(y) es que,Universita degli Studi di Palermo,C1,M,it,1,650,1.5384615384615385,upper
(y) es que,Univerza v Ljubljani,B2,F,sl,26,17595,1.4776925262858767,upper
(y) es que,Univerza v Ljubljani,C1,F,sl,39,13120,2.972560975609756,upper
(y) es que,Univerza v Ljubljani,C2,F,es,4,2942,1.3596193065941535,upper
(y) es que,Univerza v Ljubljani,C2,F,sl,16,659,24.279210925644918,upper
(y) es que,Univerza v Ljubljani,C2,M,es,3,1217,2.4650780608052587,upper
(y) es que,Vrije Universiteit Brussel,B1,F,nl,2,4082,0.4899559039686428,lower
(y) es que,Vrije Universiteit Brussel,B1,M,fr,2,704,2.840909090909091,lower
(y) es que,Vrije Universiteit Brussel,B2,F,fr,9,1468,6.130790190735695,upper
(y) es que,Vrije Universiteit Brussel,B2,F,nl,10,2033,4.918839153959666,upper
(y) es que,Vrije Universiteit Brussel,C2,F,es,6,4875,1.2307692307692308,upper
(y) es que,Vrije Universiteit Brussel,C2,M,es,3,2277,1.3175230566534915,upper
a lo mejor,Universidad de Sevilla,C2,F,es,1,2332,0.4288164665523156,upper
a lo mejor,Universita degli Studi di Palermo,B2,F,it,1,9519,0.10505305179115454,upper
a lo mejor,Universita degli Studi di Palermo,C1,F,it,1,1837,0.5443658138268916,upper
a lo mejor,Universita degli Studi di Palermo,C1,M,it,1,650,1.5384615384615385,upper
a lo mejor,Univerza v Ljubljani,B2,F,sl,3,17595,0.17050298380221654,upper
a lo mejor,Univerza v Ljubljani,B2,M,sl,1,615,1.6260162601626016,upper
a lo mejor,Univerza v Ljubljani,C2,F,es,1,2942,0.3399048266485384,upper
a lo mejor,Vrije Universiteit Brussel,C1,F,es,2,429,4.662004662004662,upper
a lo mejor,Vrije Universiteit Brussel,C2,F,es,5,4875,1.0256410256410255,upper
a lo mejor,Vrije Universiteit Brussel,C2,M,es,1,2277,0.43917435221783047,upper
además,Universidad de Sevilla,C2,F,es,2,2332,0.8576329331046312,upper
además,Universita degli Studi di Palermo,B1,F,it,1,4299,0.23261223540358222,lower
además,Universita degli Studi di Palermo,B2,F,it,3,9519,0.3151591553734636,upper
además,Universita degli Studi di Palermo,B2,M,it,1,1321,0.757002271006813,upper
además,Universita degli Studi di Palermo,C1,M,it,1,650,1.5384615384615385,upper
además,Univerza v Ljubljani,B2,M,sl,2,615,3.252032520325203,upper
además,Univerza v Ljubljani,C1,F,sl,3,13120,0.22865853658536586,upper
además,Univerza v Ljubljani,C2,F,es,5,2942,1.699524133242692,upper
además,Univerza v Ljubljani,C2,M,es,3,1217,2.4650780608052587,upper
además,Vrije Universiteit Brussel,B2,F,nl,1,2033,0.49188391539596654,upper
además,Vrije Universiteit Brussel,C2,F,es,1,4875,0.20512820512820512,upper
además,Vrije Universiteit Brussel,C2,M,es,1,2277,0.43917435221783047,upper
afortunadamente,Universita degli Studi di Palermo,B1,F,it,2,4299,0.46522447080716445,lower
afortunadamente,Universita degli Studi di Palermo,B2,F,it,2,9519,0.21010610358230908,upper
afortunadamente,Univerza v Ljubljani,C1,F,sl,1,13120,0.07621951219512195,upper
afortunadamente,Vrije Universiteit Brussel,B1,M,fr,1,704,1.4204545454545454,lower
al fin y al cabo,Universidad de Sevilla,C2,F,es,1,2332,0.4288164665523156,upper
al fin y al cabo,Universidad de Sevilla,C2,M,es,3,833,3.6014405762304924,upper
al fin y al cabo,Universita degli Studi di Palermo,C1,F,it,1,1837,0.5443658138268916,upper
al fin y al cabo,Vrije Universiteit Brussel,C2,F,es,3,4875,0.6153846153846154,upper
al menos,Univerza v Ljubljani,B1,F,sl,1,1000,1.0,lower
al menos,Univerza v Ljubljani,B2,F,sl,2,17595,0.11366865586814436,upper
al menos,Univerza v Ljubljani,C1,F,sl,1,13120,0.07621951219512195,upper
al menos,Vrije Universiteit Brussel,C2,F,es,1,4875,0.20512820512820512,upper
al menos,Vrije Universiteit Brussel,C2,M,es,1,2277,0.43917435221783047,upper
al mismo tiempo,Universita degli Studi di Palermo,B2,F,it,6,9519,0.6303183107469272,upper
al mismo tiempo,Univerza v Ljubljani,B2,F,sl,2,17595,0.11366865586814436,upper
al mismo tiempo,Univerza v Ljubljani,C1,F,sl,3,13120,0.22865853658536586,upper
al mismo tiempo,Vrije Universiteit Brussel,C2,F,es,1,4875,0.20512820512820512,upper
apenas,Vrije Universiteit Brussel,C2,F,es,2,4875,0.41025641025641024,upper
aun así,Univerza v Ljubljani,C1,F,sl,2,13120,0.1524390243902439,upper
bien,Universidad de Sevilla,C2,F,es,10,2332,4.288164665523156,upper
bien,Universidad de Sevilla,C2,M,es,2,833,2.4009603841536613,upper
bien,Universita degli Studi di Palermo,A2,F,it,1,540,1.8518518518518519,lower
bien,Universita degli Studi di Palermo,B1,F,it,7,4299,1.6282856478250756,lower
bien,Universita degli Studi di Palermo,B2,F,it,22,9519,2.3111671394054,upper
bien,Universita degli Studi di Palermo,C1,F,it,5,1837,2.721829069134458,upper
bien,Universita degli Studi di Palermo,C1,M,it,5,650,7.6923076923076925,upper
bien,Univerza v Ljubljani,B1,F,sl,2,1000,2.0,lower
bien,Univerza v Ljubljani,B2,F,it,1,414,2.4154589371980677,upper
bien,Univerza v Ljubljani,B2,F,sl,44,17595,2.500710429099176,upper
bien,Univerza v Ljubljani,B2,M,sl,1,615,1.6260162601626016,upper
bien,Univerza v Ljubljani,C1,F,sl,38,13120,2.8963414634146343,upper
bien,Univerza v Ljubljani,C2,F,es,3,2942,1.0197144799456153,upper
bien,Univerza v Ljubljani,C2,F,sl,2,659,3.0349013657056148,upper
bien,Univerza v Ljubljani,C2,M,es,7,1217,5.751848808545604,upper
bien,Vrije Universiteit Brussel,B1,F,nl,4,4082,0.9799118079372856,lower
bien,Vrije Universiteit Brussel,B1,F,ro,1,535,1.8691588785046729,lower
bien,Vrije Universiteit Brussel,B1,M,en,2,475,4.2105263157894735,lower
bien,Vrije Universiteit Brussel,B1,M,fr,3,704,4.261363636363637,lower
bien,Vrije Universiteit Brussel,B1,M,nl,3,1582,1.8963337547408343,lower
bien,Vrije Universiteit Brussel,B2,F,fr,5,1468,3.4059945504087192,upper
bien,Vrije Universiteit Brussel,B2,F,nl,5,2033,2.459419576979833,upper
bien,Vrije Universiteit Brussel,C1,F,es,2,429,4.662004662004662,upper
bien,Vrije Universiteit Brussel,C1,F,fr,6,969,6.191950464396285,upper
bien,Vrije Universiteit Brussel,C2,F,es,12,4875,2.4615384615384617,upper
bien,Vrije Universiteit Brussel,C2,M,es,10,2277,4.391743522178305,upper
bueno,Universidad de Sevilla,C2,F,es,10,2332,4.288164665523156,upper
bueno,Universidad de Sevilla,C2,M,es,1,833,1.2004801920768307,upper
bueno,Universita degli Studi di Palermo,B1,F,it,25,4299,5.815305885089556,lower
bueno,Universita degli Studi di Palermo,B2,F,it,53,9519,5.56781174493119,upper
bueno,Universita degli Studi di Palermo,B2,M,it,4,1321,3.028009084027252,upper
bueno,Universita degli Studi di Palermo,C1,F,it,31,1837,16.875340228633643,upper
bueno,Universita degli Studi di Palermo,C1,M,it,6,650,9.23076923076923,upper
bueno,Univerza v Ljubljani,B1,F,sl,4,1000,4.0,lower
bueno,Univerza v Ljubljani,B2,F,it,1,414,2.4154589371980677,upper
